left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
2	3	num.displays_05	1808.5	1	NA	1	1
4	5	num.displays_03	695.5	1	NA	2	1
6	7	avg.auths.per.disc_02	3.154762	1	NA	3	1
8	9	num.displays_07	1069.5	1	NA	4	1
10	11	num.displays_04	879.5	1	NA	5	1
12	13	num.displays_01	2347	1	NA	6	1
14	15	number.total.disc_03	3.5	1	NA	7	1
16	17	number.total.disc_06	8.5	1	NA	8	1
0	0	NA	0	-1	0	9	1
18	19	avg.disc.length_07	146	1	NA	10	1
20	21	contribution.sparseness_06	0.1221445	1	NA	11	1
22	23	atomic.containers_03	7.5	1	NA	12	1
24	25	number.total.disc_07	14.5	1	NA	13	1
26	27	num.displays_06	4735	1	NA	14	1
28	29	contribution.sparseness_03	0.021922	1	NA	15	1
30	31	num.displays_05	338.5	1	NA	16	1
0	0	NA	0	-1	0	17	1
32	33	atomic.containers_01	14	1	NA	18	1
0	0	NA	0	-1	1	19	1
34	35	num.displays_06	1316.5	1	NA	20	1
0	0	NA	0	-1	1	21	1
0	0	NA	0	-1	1	22	1
0	0	NA	0	-1	0	23	1
36	37	number.total.disc_01	5.5	1	NA	24	1
0	0	NA	0	-1	1	25	1
38	39	attention.level.contrib_02	0.000296	1	NA	26	1
40	41	num.displays_00	8583.5	1	NA	27	1
42	43	burstiness_06	0.8166665	1	NA	28	1
0	0	NA	0	-1	1	29	1
44	45	auth.increase_07	7.5	1	NA	30	1
46	47	attention.level.author_00	0.0017485	1	NA	31	1
48	49	num.displays_05	1724	1	NA	32	1
0	0	NA	0	-1	0	33	1
50	51	num.displays_07	1763	1	NA	34	1
52	53	num.displays_07	2350.5	1	NA	35	1
54	55	avg.disc.length_00	18.75	1	NA	36	1
0	0	NA	0	-1	0	37	1
0	0	NA	0	-1	0	38	1
56	57	num.displays_04	5359.5	1	NA	39	1
0	0	NA	0	-1	1	40	1
0	0	NA	0	-1	1	41	1
58	59	avg.disc.length_03	68.75	1	NA	42	1
0	0	NA	0	-1	1	43	1
60	61	attention.level.author_00	0.001312	1	NA	44	1
0	0	NA	0	-1	0	45	1
62	63	num.displays_01	677	1	NA	46	1
0	0	NA	0	-1	0	47	1
64	65	num.authors.topic_03	20.5	1	NA	48	1
0	0	NA	0	-1	1	49	1
66	67	num.displays_00	549	1	NA	50	1
0	0	NA	0	-1	0	51	1
68	69	num.displays_04	1064.5	1	NA	52	1
0	0	NA	0	-1	1	53	1
70	71	num.displays_06	2971	1	NA	54	1
0	0	NA	0	-1	1	55	1
72	73	atomic.containers_00	101.5	1	NA	56	1
0	0	NA	0	-1	0	57	1
74	75	attention.level.contrib_02	0.000299	1	NA	58	1
0	0	NA	0	-1	1	59	1
76	77	num.displays_01	180.5	1	NA	60	1
0	0	NA	0	-1	0	61	1
78	79	avg.disc.length_05	0.5	1	NA	62	1
0	0	NA	0	-1	0	63	1
